"Testo Italiano";"Polaritá positiva su testo italiano";"Polaritá negativa su testo italiano";"Testo Inglese";"Polaritá su testo inglese";"Rabbia Calcolata";"Anticipazione calcolata";"Disgusto calcolata";"Paura calcolata";"Gioia calcolata";"Tristezza calcolata";"Sorpresa calcolata";"Fiducia calcolata"
"Non essendo un grande fan dell'Opera, mi è piaciuto molto lo spettacolo, gli artisti lo hanno reso molto divertente e interessante. Avevano molto talento, sia i cantanti che il pianista. Super consigliato Inoltre, avendo acquistato un biglietto aggiuntivo poiché una delle persone non poteva salire le scale per raggiungere il teatro, hanno restituito i soldi.";"4.50";"24.67";"Not being a big fan of the Opera, I really enjoyed the show, the artists have made it very fun and interesting. They had a lot of talent, both singers pianist. Super recommended Also, having purchased an additional ticket for one of the people could not climb the stairs to the theater, they returned the money.";2;"23.78";"0.86";"3.86";"4.59";"47.05";"4.02";"15.65";"0.19"
"Recentemente sono stato a Taormina con un gruppo di studenti e adulti adolescenti. Ho pensato che gli interpreti facessero un buon lavoro, ma a volte le loro voci erano troppo forti per il piccolo teatro, e metà del mio gruppo (insieme ad altri membri del pubblico, ho notato) è andato via all'intervallo. I pezzi finali della performance non erano arie, ma piuttosto canzoni tradizionali italiane tradizionali. Avrei potuto fare a meno di questa perte, ma i membri del mio gruppo si sono davvero divertiti a sentire canzoni che erano più familiari a loro delle arie (molto familiari per chi ama l'opera) che sono state eseguite. Penso che gli artisti abbiano fatto un buon lavoro nel raggiungere la maggior parte dei membri del pubblico, attraverso le loro performance coinvolgenti e attraverso la musica popolare. E 'stato ben organizzato, e tutti hanno apprezzato gli interludi di pianoforte.";"0.01";"0.00";"I was recently in Taormina with a group of students and young adults. I thought the actors did a good job, but sometimes their voices were too loud for the small theater, and half of my group (along with other members of the public, I noticed) went away interval. The final pieces of the performances were no airs, but rather traditional Italian folk songs. I could have done without this perte, but the members of my group are really fun to hear songs that were familiar to them on airs (very familiar to those who love the work) that were performed. I think artists have done a good job in reaching the majority of members of the public, through their soulful and through popular music. It 'been well organized, and everyone enjoyed the piano interludes.";2;"9.45";"0.84";"7.05";"10.54";"11.57";"34.70";"25.50";"0.35"
"Ottimo rapporto qualità-prezzo in un ambiente incantevole. Pianista eccellente e cantanti molto competenti.
Una buona notte di intrattenimento leggero.";"99.82";"1.26";"Great value for money in a lovely setting. Pianist excellent and very competent singers.
A good night of light entertainment.";3;"0.16";"0.18";"0.08";"0.18";"97.61";"0.25";"1.44";"0.11"
"Grande introduzione all'opera! Bel tocco per avere il Prosecco nell'intervallo";"78.67";"1.26";"Great introduction to the work! Nice touch to have the range Prosecco";4;"0.18";"0.09";"0.06";"0.08";"98.83";"0.15";"0.51";"0.11"
"Splendida performance. Vale sicuramente la pena partecipare ad uno spettacolo.";"87.17";"10.22";"Stunning performance. Definitely worth attending a show.";3;"22.40";"5.16";"3.56";"11.30";"43.13";"6.72";"6.70";"1.02"
"Sono andato a vedere l'Opera la scorsa sera dopo aver visitato l'Italia In Voice Opera. Non vedevo l'ora perché mi sto godendo l'Italia in Voice Opera e le aspettative erano più alte. Quando ero in Italia In Voice ci è stato permesso di registrare il video dal telefono. Visto l'alto standard all'Italian Opera Taormina, ho pensato di egistrare l'audio con il mio telefono. Non sapevo che registrare l'audio all'Italian Opera Taormina non fosse consentito. Non c'è nessun annuncio a riguardo. Stavo registrando l'audio per qualche canzone al secondo set, quando uno dello staff mi chiede di cancellare l'audio. E ' stato molto scortese. Mi vergogno molto del modo in cui ha gestito la situazione. Dovrebbe farmi sapere se la registrazione audio non è consentita lì. Dovrebbe dirmi all'inizio quando mi ha visto registrare l'audio. Questa esperienza mi ha davvero messo in imbarazzo.  Questo fatto mi ha davvero rovinato tutta questa visita. Mi sento come il criminale per aver registrando l'audio. Più avanti mi ha fatto delle foto ada ogni angolazione. Sono davvero deluso e non vi consiglio questa Opera. Se qualcuno cerca voce e performance migliori basta andare a vedere Italy In Voice Sicily in Via Cappuccini. Anche quella è una piccola produzione ma il servizio clienti è molto meglio dell'Opera Italiana Taormina.";"21.67";"4.84";"I went to see the opera last night after visiting Italy In Voice Opera. I could not wait because I'm enjoying Italy in Voice and Opera expectations were higher. When I was in Italy in Voice we were allowed to record video from your phone. Given the high standard of the Italian Opera Taormina, I thought egistrare audio on my phone. I did not know that record audio at the Italian Opera Taormina is not allowed. There is no announcement about it. I was recording the audio for a few songs in the second set, when one of the staff asked me to delete the audio. It 'was very rude. I am very ashamed of the way he handled the situation. You should let me know if the sound recording is not permitted there. He should tell me when he saw me start to record sound. This experience has really made me embarrassed. This has really ruined my whole this visit. I feel like a criminal for recording audio. Later asked me some pictures ada every angle. I'm really disappointed and will not recommend this work. If someone tries voice and performance best just to go see Italy In Sicily Voice in Via Cappuccini. Even that is a small production but customer service is much better Italian Opera Taormina.";1;"0.05";"0.02";"0.01";"0.02";"99.59";"0.03";"0.26";"0.02"
"Non ero un amante dell'opera prima di andare insieme con mia moglie, ma sono stato rapito quella sera. Divertimento di prima qualità in un ambiente rilassato. Da non perdere.";"39.67";"86.05";"I was not an opera lover before going along with my wife, but I was blown away that night. notch entertainment in a relaxed environment. Not to be missed.";2;"1.24";"0.38";"0.49";"0.81";"91.65";"1.30";"3.89";"0.26"
"Mi è piaciuta molto l'opera, soprattutto ascoltando Elisabetta Zizzo
Il Maestro Gennaro è stato eccellente!!!
Consiglio vivamente questo spettacolo durante la visita a Taormina!!!";"97.11";"1.78";"I loved the work, especially listening to Elizabeth Zizzo
The Master Gennaro was excellent !!!
I highly recommend this show while visiting Taormina !!!";3;"0.69";"0.59";"0.24";"1.13";"66.96";"0.42";"29.94";"0.02"
"Atmosfera favolosa e acustica. Un luogo intimo.";"99.08";"0.25";"Fabulous atmosphere and acoustics. An intimate venue.";2;"0.25";"0.57";"0.09";"0.27";"96.96";"0.24";"1.38";"0.25"
"Troppo caldo in teatro ma la musica era geniale. Da vicino e personale. Vale la pena una visita ma porta un ventilatore.";"30.88";"91.66";"Too hot in the theater but the music was brilliant. Up close and personal. It is worth a visit but carries a fan.";3;"0.73";"9.67";"0.59";"3.86";"73.37";"2.49";"5.11";"4.16"
"Grandi artisti di cui sicuramente si sentirà";"41.58";"22.43";"Great artists who we're sure will feel";3;"2.06";"3.45";"2.19";"11.20";"32.29";"8.24";"2.73";"37.85"
"Fantastica serata. Grandi performance a tutto tondo. Ottima atmosfera. Sarei felice di tornare ogni volta. Congratulazioni.";"99.61";"0.82";"Great night. Great all-round performance. Great atmosphere. I'd be happy to come back every time. Congratulations.";3;"0.02";"0.09";"0.01";"0.03";"99.36";"0.06";"0.25";"0.17"
"Bellissimo! Adoro l'opera!";"99.24";"0.51";"Very beautifull! I love the work!";4;"0.03";"0.02";"0.01";"0.01";"99.75";"0.03";"0.11";"0.04"
"Buon canto e accompagnamento da tutti i coinvolti. Lo consiglio sicuramente. Bella serata fuori.";"98.55";"6.24";"Good singing and accompaniment by all involved. Definitely recommend it. Beautiful night out.";3;"0.53";"0.08";"0.08";"0.19";"95.67";"0.15";"3.29";"0.01"
"Un luogo intimo, artisti di talento, un vero piacere. Solo viziato dai soliti idioti che cercano di registrare sui loro telefoni invece di divertirsi.";"52.17";"31.77";"An intimate, talented artists, a real pleasure. Only spoiled by the usual idiots who try to record on their phones instead of fun.";2;"62.68";"0.88";"4.96";"6.94";"13.17";"6.98";"4.18";"0.23"
"Siamo entrati in una giornata piovosa su richiesta dei bambini. I bambini hanno adorato il vento e la pioggia. La prima parte del Big Bang era ancora ok, ma la seconda parte su Roma era deludente. Immagini brutte, non correlate, eventi essenziali non menzionati.";"0.14";"0.97";"We went on a rainy day on children's request. The kids loved the wind and rain. The first part of the Big Bang was still ok, but the second part of Rome was disappointing. ugly, unrelated images, not mentioned key events.";2;"5.40";"0.57";"4.63";"5.29";"32.95";"29.01";"21.33";"0.83"
"Hai mai avuto la sensazione di cadere da una montagna rocciosa? Quindi fai questo giro se ti piace una sensazione stridente. Esperienza molto spiacevole. Sei stato avvisato.";"12.13";"90.01";"Have you ever had the sensation of falling from a rocky mountain? So doing this tour if you like a jarring sensation. Very unpleasant experience. You have been warned.";1;"5.87";"2.07";"6.17";"8.38";"48.07";"16.07";"8.58";"4.77"
"Effetti speciali presumibilmente ripartiti. 40 minuti annunciati ma appena 25 minuti. Nessun 3D ... film di scarsa qualità. Orari non rispettati. Siamo arrivati in tempo e la sessione era iniziata. Quando chiedi spiegazioni, nessuno parla francese o inglese! Andateci se cercate l'aria condizionata.";"22.46";"79.85";"Special Effects allegedly distributed. 40 minutes announced but just 25 minutes. No 3D ... poor quality film. Hours not respected. We arrived in time and the session had begun. When you ask about it, nobody speaks French or English! Go there if you want air conditioning.";2;"6.52";"12.90";"6.69";"16.22";"21.87";"17.44";"15.59";"2.77"
"In realtà a prezzo altissimo si vedono uno o due film (o tre). sul piano storico culturale la concentrazione della storia di Roma in 40 minuti fa capire poco sia della storia sia dei monumenti.E ho paura che chi non ha neppure una piccola infarinatura non capisce proprio nulla.
Sul piano delle sensazioni: sono da luna park completamente slegate dal contesto si saltella su un sedile che si muove su e giù e si riceve qualche goccia di acqua e un po di vento in faccia e addosso.
Il prezzo è veramente scandaloso!";"2.50";"97.90";"In a very high price actually seen one or two films (or three). the historic cultural concentration of Roman history in 40 minutes is little understanding of both the history of both monumenti.E I'm afraid that those who have not even a small smattering not understand anything.
In terms of the sensations they are completely unrelated to fairground context jumps on a seat that moves up and down and you get a few drops of water and a little wind in your face and him.
The price is really outrageous!";2;"6.40";"1.96";"3.08";"20.78";"27.65";"8.41";"31.37";"0.35"
